num,date,week
1,2015-01-01,0
2,2015-01-02,1
3,2015-01-03,1
4,2015-01-04,1
5,2015-01-05,1
6,2015-01-06,1
7,2015-01-07,0
8,2015-01-08,0
9,2015-01-09,1
10,2015-01-10,1
11,2015-01-11,1
12,2015-01-12,1
13,2015-01-13,1
14,2015-01-14,0
15,2015-01-15,0
16,2015-01-16,1
17,2015-01-17,1
18,2015-01-18,1
19,2015-01-19,1
20,2015-01-20,1
21,2015-01-21,0
22,2015-01-22,0
23,2015-01-23,1
24,2015-01-24,1
25,2015-01-25,1
26,2015-01-26,1
27,2015-01-27,1
28,2015-01-28,0
29,2015-01-29,0
30,2015-01-30,1
31,2015-01-31,1
32,2015-02-01,1
33,2015-02-02,1
34,2015-02-03,1
35,2015-02-04,0
36,2015-02-05,0
37,2015-02-06,1
38,2015-02-07,1
39,2015-02-08,1
40,2015-02-09,1
41,2015-02-10,1
42,2015-02-11,0
43,2015-02-12,0
44,2015-02-13,1
45,2015-02-14,1
46,2015-02-15,1
47,2015-02-16,1
48,2015-02-17,1
49,2015-02-18,0
50,2015-02-19,0
51,2015-02-20,1
52,2015-02-21,1
53,2015-02-22,1
54,2015-02-23,1
55,2015-02-24,1
56,2015-02-25,0
57,2015-02-26,0
58,2015-02-27,1
59,2015-02-28,1
60,2015-03-01,1
61,2015-03-02,1
62,2015-03-03,1
63,2015-03-04,0
64,2015-03-05,0
65,2015-03-06,1
66,2015-03-07,1
67,2015-03-08,1
68,2015-03-09,1
69,2015-03-10,1
70,2015-03-11,0
71,2015-03-12,0
72,2015-03-13,1
73,2015-03-14,1
74,2015-03-15,1
75,2015-03-16,1
76,2015-03-17,1
77,2015-03-18,0
78,2015-03-19,0
79,2015-03-20,1
80,2015-03-21,1
81,2015-03-22,1
82,2015-03-23,1
83,2015-03-24,1
84,2015-03-25,0
85,2015-03-26,0
86,2015-03-27,1
87,2015-03-28,1
88,2015-03-29,1
89,2015-03-30,1
90,2015-03-31,1
91,2015-04-01,0
92,2015-04-02,0
93,2015-04-03,1
94,2015-04-04,1
95,2015-04-05,1
96,2015-04-06,1
97,2015-04-07,1
98,2015-04-08,0
99,2015-04-09,0
100,2015-04-10,1
101,2015-04-11,1
102,2015-04-12,1
103,2015-04-13,1
104,2015-04-14,1
105,2015-04-15,0
106,2015-04-16,0
107,2015-04-17,1
108,2015-04-18,1
109,2015-04-19,1
110,2015-04-20,1
111,2015-04-21,1
112,2015-04-22,0
113,2015-04-23,0
114,2015-04-24,1
115,2015-04-25,1
116,2015-04-26,1
117,2015-04-27,1
118,2015-04-28,1
119,2015-04-29,0
120,2015-04-30,0
121,2015-05-01,1
122,2015-05-02,1
123,2015-05-03,1
124,2015-05-04,1
125,2015-05-05,1
126,2015-05-06,0
127,2015-05-07,0
128,2015-05-08,1
129,2015-05-09,1
130,2015-05-10,1
131,2015-05-11,1
132,2015-05-12,1
133,2015-05-13,0
134,2015-05-14,0
135,2015-05-15,1
136,2015-05-16,1
137,2015-05-17,1
138,2015-05-18,1
139,2015-05-19,1
140,2015-05-20,0
141,2015-05-21,0
142,2015-05-22,1
143,2015-05-23,1
144,2015-05-24,1
145,2015-05-25,1
146,2015-05-26,1
147,2015-05-27,0
148,2015-05-28,0
149,2015-05-29,1
150,2015-05-30,1
151,2015-05-31,1
152,2015-06-01,1
153,2015-06-02,1
154,2015-06-03,0
155,2015-06-04,0
156,2015-06-05,1
157,2015-06-06,1
158,2015-06-07,1
159,2015-06-08,1
160,2015-06-09,1
161,2015-06-10,0
162,2015-06-11,0
163,2015-06-12,1
164,2015-06-13,1
165,2015-06-14,1
166,2015-06-15,1
167,2015-06-16,1
168,2015-06-17,0
169,2015-06-18,0
170,2015-06-19,1
171,2015-06-20,1
172,2015-06-21,1
173,2015-06-22,1
174,2015-06-23,1
175,2015-06-24,0
176,2015-06-25,0
177,2015-06-26,1
178,2015-06-27,1
179,2015-06-28,1
180,2015-06-29,1
181,2015-06-30,1
182,2015-07-01,0
183,2015-07-02,0
184,2015-07-03,1
185,2015-07-04,1
186,2015-07-05,1
187,2015-07-06,1
188,2015-07-07,1
189,2015-07-08,0
190,2015-07-09,0
191,2015-07-10,1
192,2015-07-11,1
193,2015-07-12,1
194,2015-07-13,1
195,2015-07-14,1
196,2015-07-15,0
197,2015-07-16,0
198,2015-07-17,1
199,2015-07-18,1
200,2015-07-19,1
201,2015-07-20,1
202,2015-07-21,1
203,2015-07-22,0
204,2015-07-23,0
205,2015-07-24,1
206,2015-07-25,1
207,2015-07-26,1
208,2015-07-27,1
209,2015-07-28,1
210,2015-07-29,0
211,2015-07-30,0
212,2015-07-31,1
213,2015-08-01,1
214,2015-08-02,1
215,2015-08-03,1
216,2015-08-04,1
217,2015-08-05,0
218,2015-08-06,0
219,2015-08-07,1
220,2015-08-08,1
221,2015-08-09,1
222,2015-08-10,1
223,2015-08-11,1
224,2015-08-12,0
225,2015-08-13,0
226,2015-08-14,1
227,2015-08-15,1
228,2015-08-16,1
229,2015-08-17,1
230,2015-08-18,1
231,2015-08-19,0
232,2015-08-20,0
233,2015-08-21,1
234,2015-08-22,1
235,2015-08-23,1
236,2015-08-24,1
237,2015-08-25,1
238,2015-08-26,0
239,2015-08-27,0
240,2015-08-28,1
241,2015-08-29,1
242,2015-08-30,1
243,2015-08-31,1
244,2015-09-01,1
245,2015-09-02,0
246,2015-09-03,0
247,2015-09-04,1
248,2015-09-05,1
249,2015-09-06,1
250,2015-09-07,1
251,2015-09-08,1
252,2015-09-09,0
253,2015-09-10,0
254,2015-09-11,1
255,2015-09-12,1
256,2015-09-13,1
257,2015-09-14,1
258,2015-09-15,1
259,2015-09-16,0
260,2015-09-17,0
261,2015-09-18,1
262,2015-09-19,1
263,2015-09-20,1
264,2015-09-21,1
265,2015-09-22,1
266,2015-09-23,0
267,2015-09-24,0
268,2015-09-25,1
269,2015-09-26,1
270,2015-09-27,1
271,2015-09-28,1
272,2015-09-29,1
273,2015-09-30,0
274,2015-10-01,0
275,2015-10-02,1
276,2015-10-03,1
277,2015-10-04,1
278,2015-10-05,1
279,2015-10-06,1
280,2015-10-07,0
281,2015-10-08,0
282,2015-10-09,1
283,2015-10-10,1
284,2015-10-11,1
285,2015-10-12,1
286,2015-10-13,1
287,2015-10-14,0
288,2015-10-15,0
289,2015-10-16,1
290,2015-10-17,1
291,2015-10-18,1
292,2015-10-19,1
293,2015-10-20,1
294,2015-10-21,0
295,2015-10-22,0
296,2015-10-23,1
297,2015-10-24,1
298,2015-10-25,1
299,2015-10-26,1
300,2015-10-27,1
301,2015-10-28,0
302,2015-10-29,0
303,2015-10-30,1
304,2015-10-31,1
305,2015-11-01,1
306,2015-11-02,1
307,2015-11-03,1
308,2015-11-04,0
309,2015-11-05,0
310,2015-11-06,1
311,2015-11-07,1
312,2015-11-08,1
313,2015-11-09,1
314,2015-11-10,1
315,2015-11-11,0
316,2015-11-12,0
317,2015-11-13,1
318,2015-11-14,1
319,2015-11-15,1
320,2015-11-16,1
321,2015-11-17,1
322,2015-11-18,0
323,2015-11-19,0
324,2015-11-20,1
325,2015-11-21,1
326,2015-11-22,1
327,2015-11-23,1
328,2015-11-24,1
329,2015-11-25,0
330,2015-11-26,0
331,2015-11-27,1
332,2015-11-28,1
333,2015-11-29,1
334,2015-11-30,1
335,2015-12-01,1
336,2015-12-02,0
337,2015-12-03,0
338,2015-12-04,1
